name;vendor;category;functionality;expiration;service_name;service_url
criteo_silent_mode_expires;Criteo;Unknown;with unknown functionality;at least one session;Criteo;https://cookiedatabase.org/service/criteo/
criteo_silent_mode;Criteo;Unknown;with unknown functionality;at least one session;Criteo;https://cookiedatabase.org/service/criteo/
cto_bundle;Criteo;Marketing;toprovide functions across pages.;13 months;Criteo;https://cookiedatabase.org/service/criteo/
cto_lwid;Criteo;Functional;toprovide admin functions.;13 months;Criteo;https://cookiedatabase.org/service/criteo/
criteo_pt_cdb_bidcache_*;Criteo;Marketing;tostore and track visits across websites.;persistent;Criteo;https://cookiedatabase.org/service/criteo/
crisp-clientsocket*;Crisp Live Chat;Functional;tostore the status of the chat.;6 months;Crisp Live Chat;https://cookiedatabase.org/service/crisp-live-chat/
criteo_pt_cdb_metrics;Criteo;Unknown;with unknown functionality;at least one session;Criteo;https://cookiedatabase.org/service/criteo/
CSSHERO-CODE-EDITOR-FONT-SIZE;CssHero;Unknown;with unknown functionality;at least one session;CssHero;https://cookiedatabase.org/service/csshero/
csshero-donovan-child-skin-count;CssHero;Unknown;with unknown functionality;at least one session;CssHero;https://cookiedatabase.org/service/csshero/
CSSHERO-INSPECTOR-POSITION;CssHero;Unknown;with unknown functionality;at least one session;CssHero;https://cookiedatabase.org/service/csshero/
CSSHEROSAVE-INTERFACE-POSITION;CssHero;Unknown;with unknown functionality;at least one session;CssHero;https://cookiedatabase.org/service/csshero/
CSSHEROSAVE-SHOW-ADVANCED-PROPS;CssHero;Unknown;with unknown functionality;at least one session;CssHero;https://cookiedatabase.org/service/csshero/
CSSHERO-OVERVIEW-VIEW;CssHero;Unknown;with unknown functionality;at least one session;CssHero;https://cookiedatabase.org/service/csshero/
csshero-nbb-skin-count;CssHero;Unknown;with unknown functionality;at least one session;CssHero;https://cookiedatabase.org/service/csshero/
csshero-generatepress-skin-count;CssHero;Unknown;with unknown functionality;at least one session;CssHero;https://cookiedatabase.org/service/csshero/
csshero-voor-elkaar-skin-count;CssHero;Unknown;with unknown functionality;at least one session;CssHero;https://cookiedatabase.org/service/csshero/
CSSHERO-HIDES-INSPECTOR-HINTS;CssHero;Unknown;with unknown functionality;at least one session;CssHero;https://cookiedatabase.org/service/csshero/
bulkSecret;Custom Field Bulk Editor;Functional;toprovide admin functions.;various;Custom Field Bulk Editor;https://cookiedatabase.org/service/custom-field-bulk-editor/
bulkTime;Custom Field Bulk Editor;Functional;toprovide admin functions.;persistent;Custom Field Bulk Editor;https://cookiedatabase.org/service/custom-field-bulk-editor/
customify_wc_pl_view_mod;Customify;Functional;toprovide functions across pages.;1 year;Customify;https://cookiedatabase.org/service/customify/
bulkPage;Custom Field Bulk Editor;Functional;toprovide admin functions.;persistent;Custom Field Bulk Editor;https://cookiedatabase.org/service/custom-field-bulk-editor/
cX_T;cxense;Functional;toprovide technical monitoring.;expires immediately;cxense;https://cookiedatabase.org/service/cxense/
cstp;cxense;Marketing;toprovide ad delivery or retargeting.;various;cxense;https://cookiedatabase.org/service/cxense/
cX_S;cxense;Marketing;tostore and track a visitor's identity.;session;cxense;https://cookiedatabase.org/service/cxense/
cX_G;cxense;Marketing;tostore a unique user ID.;1 year;cxense;https://cookiedatabase.org/service/cxense/
dm-euconsent-v2;Dailymotion;Functional;tostore cookie consent preferences.;6 months;Dailymotion;https://cookiedatabase.org/service/dailymotion/
damd;Dailymotion;Marketing;toprovide ad delivery or retargeting.;1 year;Dailymotion;https://cookiedatabase.org/service/dailymotion/
cX_P;cxense;Marketing;tostore the user's usage history.;1 year;cxense;https://cookiedatabase.org/service/cxense/
client_token;Dailymotion;Functional;toprovide functions across pages.;12 hours;Dailymotion;https://cookiedatabase.org/service/dailymotion/
ts;Dailymotion;Functional;toprovide load balancing functionality.;13 months;Dailymotion;https://cookiedatabase.org/service/dailymotion/
hist;Dailymotion;Functional;tostore the user's usage history.;13 months;Dailymotion;https://cookiedatabase.org/service/dailymotion/
dmvk;Dailymotion;Functional;tostore performed actions on the website.;session;Dailymotion;https://cookiedatabase.org/service/dailymotion/
v1st;Dailymotion;Marketing;tostore a unique user ID.;13 months;Dailymotion;https://cookiedatabase.org/service/dailymotion/
dextp;Demdex;Unknown;with unknown functionality;at least one session;Demdex;https://cookiedatabase.org/service/demdex/
demPoll_*;Democracy Poll;Preferences;tostore performed actions on the website.;1 year;Democracy Poll;https://cookiedatabase.org/service/democracy-poll/
dwqa_anonymous;DesignWall;Unknown;with unknown functionality;at least one session;DesignWall;https://cookiedatabase.org/service/designwall/
disqusauth;Disqus;Unknown;with unknown functionality;at least one session;Disqus;https://cookiedatabase.org/service/disqus/
drts-entity-view-list-layout-*;Directories Pro;Functional;tostore and read layout.;session;Directories Pro;https://cookiedatabase.org/service/directoriespro/
drts-voting-bookmark-post;Directories Pro;Functional;toprovide persistent item display functionality.;100 days;Directories Pro;https://cookiedatabase.org/service/directoriespro/
disqusauths;Disqus;Unknown;with unknown functionality;at least one session;Disqus;https://cookiedatabase.org/service/disqus/
et-cloud.sortMethod;Divi (Elegant Themes);Unknown;with unknown functionality;at least one session;Divi (Elegant Themes);https://cookiedatabase.org/service/divi-elegant-themes/
et-cloud.viewMode;Divi (Elegant Themes);Unknown;with unknown functionality;at least one session;Divi (Elegant Themes);https://cookiedatabase.org/service/divi-elegant-themes/
_et_*;Divi (Elegant Themes);Unknown;with unknown functionality;at least one session;Divi (Elegant Themes);https://cookiedatabase.org/service/divi-elegant-themes/
et_*;Divi (Elegant Themes);Functional;toprovide admin functions.;various;Divi (Elegant Themes);https://cookiedatabase.org/service/divi-elegant-themes/
et-support-center-safe-mode;Divi (Elegant Themes);Unknown;with unknown functionality;at least one session;Divi (Elegant Themes);https://cookiedatabase.org/service/divi-elegant-themes/
et-pb-recent-items-font_family;Divi (Elegant Themes);Functional;toprovide functions across pages.;persistent;Divi (Elegant Themes);https://cookiedatabase.org/service/divi-elegant-themes/
et-recommend-sync-post-*;Divi (Elegant Themes);Unknown;with unknown functionality;at least one session;Divi (Elegant Themes);https://cookiedatabase.org/service/divi-elegant-themes/
et-saving-post-*;Divi (Elegant Themes);Unknown;with unknown functionality;at least one session;Divi (Elegant Themes);https://cookiedatabase.org/service/divi-elegant-themes/
et-pb-recent-items-colors;Divi (Elegant Themes);Functional;toprovide functions across pages.;persistent;Divi (Elegant Themes);https://cookiedatabase.org/service/divi-elegant-themes/
et-reloaded-post-*;Divi (Elegant Themes);Unknown;with unknown functionality;at least one session;Divi (Elegant Themes);https://cookiedatabase.org/service/divi-elegant-themes/
Drift.Targeting.currentReferrerDomain;Drift;Unknown;with unknown functionality;at least one session;Drift;https://cookiedatabase.org/service/drift/
Drift.Targeting.lastTargetingEvalUUID;Drift;Unknown;with unknown functionality;at least one session;Drift;https://cookiedatabase.org/service/drift/
Drift.Targeting.referrerDomain;Drift;Marketing;tostore referrer ID's.;persistent;Drift;https://cookiedatabase.org/service/drift/
Drift.Targeting.searchTerm;Drift;Marketing;tostore used keyword and search engine.;persistent;Drift;https://cookiedatabase.org/service/drift/
Drift.Targeting.currentReferrer;Drift;Marketing;tostore referrer ID's.;persistent;Drift;https://cookiedatabase.org/service/drift/
Drift.Targeting.previousPage;Drift;Marketing;tostore and count pageviews.;persistent;Drift;https://cookiedatabase.org/service/drift/
Drift.Targeting.originalReferrer;Drift;Marketing;tostore referrer ID's.;persistent;Drift;https://cookiedatabase.org/service/drift/
Drift.Targeting.previousSessionEndedAt;Drift;Marketing;tostore time of visit.;persistent;Drift;https://cookiedatabase.org/service/drift/
Drift.Targeting.previousSessionStartedAt;Drift;Marketing;tostore time of visit.;persistent;Drift;https://cookiedatabase.org/service/drift/
_drip_client_*;Drip;Unknown;with unknown functionality;at least one session;Drip;https://cookiedatabase.org/service/drip/
Drift.Targeting.activeSessionStartedAt;Drift;Marketing;tostore time of visit.;persistent;Drift;https://cookiedatabase.org/service/drift/
SSESS*;Drupal CMS;Functional;toprovide a responsive website.;1 month;Drupal CMS;https://cookiedatabase.org/service/drupal-cms/
duo_secure_wordpress_auth_cookie;Duo Two-Factor Authentication;Functional;with unknown functionality;at least one session;Duo Two-Factor Authentication;https://cookiedatabase.org/service/duo-two-factor-authentication/
duo_wordpress_auth_cookie;Duo Two-Factor Authentication;Unknown;with unknown functionality;at least one session;Duo Two-Factor Authentication;https://cookiedatabase.org/service/duo-two-factor-authentication/
dsgvoaio_respondall;DSGVO for WP;Unknown;with unknown functionality;at least one session;DSGVO for WP;https://cookiedatabase.org/service/dsgvo-for-wp/
dsgvoaio;DSGVO for WP;Functional;tostore privacy preferences.;persistent;DSGVO for WP;https://cookiedatabase.org/service/dsgvo-for-wp/
dsgvoaio_create;DSGVO for WP;Functional;tostore time of visit.;persistent;DSGVO for WP;https://cookiedatabase.org/service/dsgvo-for-wp/
DYAMAR_POLL_*_VOTED;Dyamar Polls;Functional;tostore performed actions on the website.;at least one session;Dyamar Polls;https://cookiedatabase.org/service/dyamar-polls/
edd_items_in_cart;Easy Digital Downloads;Functional;tostore items in shopping cart.;30 minutes;Easy Digital Downloads;https://cookiedatabase.org/service/easy-digital-downloads/
ecwid_event_is_working_beforeunload;Ecwid;Unknown;with unknown functionality;at least one session;Ecwid;https://cookiedatabase.org/service/ecwid/
ecwid_is_safari;Ecwid;Functional;tostore browser details.;at least one session;Ecwid;https://cookiedatabase.org/service/ecwid/
PSecwid__document__referrerPSreferrer;Ecwid;Unknown;with unknown functionality;at least one session;Ecwid;https://cookiedatabase.org/service/ecwid/
PSecwid__document__referrerPSexpire;Ecwid;Unknown;with unknown functionality;at least one session;Ecwid;https://cookiedatabase.org/service/ecwid/
PSecwid__shopping__cart__controller__storagePSlastPlace;Ecwid;Unknown;with unknown functionality;at least one session;Ecwid;https://cookiedatabase.org/service/ecwid/
PSecwid__document__referrerPScheck;Ecwid;Unknown;with unknown functionality;at least one session;Ecwid;https://cookiedatabase.org/service/ecwid/
PSecwid__shopping__cart__controller__storagePScheck;Ecwid;Unknown;with unknown functionality;at least one session;Ecwid;https://cookiedatabase.org/service/ecwid/
PSecwid__custom__tracking__code__idPScheck;Ecwid;Unknown;with unknown functionality;at least one session;Ecwid;https://cookiedatabase.org/service/ecwid/
PSecwid__customer__sessionPScheck;Ecwid;Unknown;with unknown functionality;at least one session;Ecwid;https://cookiedatabase.org/service/ecwid/
PSecwid__*__emailPScheck;Ecwid;Unknown;with unknown functionality;at least one session;Ecwid;https://cookiedatabase.org/service/ecwid/
esaf_click;EasyAffiliate;Statistics (anonymous);tostore referrer ID's.;3 months;EasyAffiliate;https://cookiedatabase.org/service/easyaffiliate/
eapps-instagram-feed-popup-scroll-indicator-already-shown;Elfsight;Unknown;with unknown functionality;at least one session;Elfsight;https://cookiedatabase.org/service/elfsight/
eapps-instagram-feed-red-like-time;Elfsight;Unknown;with unknown functionality;persistent;Elfsight;https://cookiedatabase.org/service/elfsight/
e_document/global;Elementor;Functional;toprovide admin functions.;various;Elementor;https://cookiedatabase.org/service/elementor/
e_site-editor;Elementor;Functional,Preferences;toprovide admin functions,store configuration.;session;Elementor;https://cookiedatabase.org/service/elementor/
e_globals;Elementor;Functional,Preferences;toprovide functions across pages,store configuration.;session;Elementor;https://cookiedatabase.org/service/elementor/
elementor_split_test_client_id;Elementor;Functional,Statistics (anonymous);toprovide functions across pages,store a unique user ID.;persistent;Elementor;https://cookiedatabase.org/service/elementor/
lepelementor_license_cookie;Elementor;Functional;toprovide functions across pages,store account details.;1 week;Elementor;https://cookiedatabase.org/service/elementor/
*-evergreen_interval;Elementor;Functional;toprovide a responsive website.;various;Elementor;https://cookiedatabase.org/service/elementor/
elementor-panel-pos-left;Elementor;Functional;toprovide functions across pages.;at least one session;Elementor;https://cookiedatabase.org/service/elementor/
*-evergreen_due_date;Elementor;Functional;toprovide a responsive website.;various;Elementor;https://cookiedatabase.org/service/elementor/
elementor-panel-pos-top;Elementor;Functional;toprovide functions across pages.;at least one session;Elementor;https://cookiedatabase.org/service/elementor/
elementor;Elementor;Statistics (anonymous);tostore performed actions on the website.;persistent;Elementor;https://cookiedatabase.org/service/elementor/
aviaPrivacyEssentialCookiesEnabled;Enfold;Functional;tostore cookie consent preferences.;1 year;Enfold;https://cookiedatabase.org/service/enfold/
event-tickets-tpp-invoice;Event Tickets;Functional;toprovide functions across pages.;various;Event Tickets;https://cookiedatabase.org/service/event-tickets/
eucookielaw;EU Cookie Law;Unknown;with unknown functionality;at least one session;EU Cookie Law;https://cookiedatabase.org/service/eu_cookie_law/
avia_post_0_*;Enfold;Functional;toprovide a responsive website.;session;Enfold;https://cookiedatabase.org/service/enfold/
everest_g_v2;Everest Themes;Marketing;toStore and track interaction.;2 years;Everest Themes;https://cookiedatabase.org/service/everest_tech/
ev_sync_dd;Everest Themes;Unknown;with unknown functionality;at least one session;Everest Themes;https://cookiedatabase.org/service/everest_tech/
everest_session_v2;Everest Themes;Unknown;with unknown functionality;at least one session;Everest Themes;https://cookiedatabase.org/service/everest_tech/
Exitbee_allowed_campaigns_on_pages_visited;Exitbee;Unknown;with unknown functionality;2 years;Exitbee;https://cookiedatabase.org/service/exitbee/
Exitbee_lifetimeCampaigns;Exitbee;Unknown;with unknown functionality;at least one session;Exitbee;https://cookiedatabase.org/service/exitbee/
Exitbee_ec_history;Exitbee;Unknown;with unknown functionality;at least one session;Exitbee;https://cookiedatabase.org/service/exitbee/
Exitbee_hasBlocker;Exitbee;Unknown;with unknown functionality;2 years;Exitbee;https://cookiedatabase.org/service/exitbee/
Exitbee_sessionCampaigns;Exitbee;Unknown;with unknown functionality;2 years;Exitbee;https://cookiedatabase.org/service/exitbee/
Exitbee_vid;Exitbee;Unknown;with unknown functionality;2 years;Exitbee;https://cookiedatabase.org/service/exitbee/
Exitbee_nrPagesVisited;Exitbee;Unknown;with unknown functionality;2 years;Exitbee;https://cookiedatabase.org/service/exitbee/
Exitbee_source;Exitbee;Unknown;with unknown functionality;2 years;Exitbee;https://cookiedatabase.org/service/exitbee/
Exitbee_viewedCampaigns;Exitbee;Unknown;with unknown functionality;at least one session;Exitbee;https://cookiedatabase.org/service/exitbee/
ezpicker_force_placements;Ezoic;Unknown;toprovide ad delivery or retargeting.;at least one session;Ezoic;https://cookiedatabase.org/service/ezoic/
Exitbee_viewedOnCampaigns;Exitbee;Unknown;with unknown functionality;at least one session;Exitbee;https://cookiedatabase.org/service/exitbee/
extendify-*;Extendify;Functional;toprovide functions across pages.;session;Extendify;https://cookiedatabase.org/service/extendify/
__fb_chat_plugin;Facebook;Marketing;toStore and track interaction.;persistent;Facebook;https://cookiedatabase.org/service/facebook/
_js_datr;Facebook;Preferences;tostore user preferences.;2 years;Facebook;https://cookiedatabase.org/service/facebook/
_fbc;Facebook;Marketing;tostore last visit.;2 years;Facebook;https://cookiedatabase.org/service/facebook/
fbm*;Facebook;Marketing;tostore account details.;1 year;Facebook;https://cookiedatabase.org/service/facebook/
xs;Facebook;Marketing;tostore a unique session ID.;3 months;Facebook;https://cookiedatabase.org/service/facebook/
wd;Facebook;Functional;toread screen resolution.;1 week;Facebook;https://cookiedatabase.org/service/facebook/
fr;Facebook;Marketing;toprovide ad delivery or retargeting.;3 months;Facebook;https://cookiedatabase.org/service/facebook/
act;Facebook;Marketing;toStore logged in users.;90 days;Facebook;https://cookiedatabase.org/service/facebook/
datr;Facebook;Marketing;toprovide fraud prevention.;2 years;Facebook;https://cookiedatabase.org/service/facebook/
_fbp;Facebook;Marketing;tostore and track visits across websites.;3 months;Facebook;https://cookiedatabase.org/service/facebook/
festi_cart_for_woocommerce_storage;Festi-Team;Unknown;with unknown functionality;at least one session;Festi-Team;https://cookiedatabase.org/service/festi-team/
fpd-storage;Fancy Product Designer;Functional;tostore configuration.;session;Fancy Product Designer;https://cookiedatabase.org/service/fancy-product-designer/
/wp-admin/admin.php*;File Manager Advanced;Functional;toprovide admin functions.;persistent;File Manager Advanced;https://cookiedatabase.org/service/file-manager-advanced/
fbv_close_buy_pro_dialog;FileBird;Functional;toprovide functions across pages.;at least one session;FileBird;https://cookiedatabase.org/service/filebird/
fbv_selected;FileBird;Functional;with unknown functionality;persistent;FileBird;https://cookiedatabase.org/service/filebird/
fbv_tree;FileBird;Functional;tostore the state of the tree view.;persistent;FileBird;https://cookiedatabase.org/service/filebird/
firebase:previous_websocket_failure;Firebase;Unknown;with unknown functionality;at least one session;Firebase;https://cookiedatabase.org/service/firebase/
firebase:host:*.firebaseio.com;Firebase;Unknown;with unknown functionality;at least one session;Firebase;https://cookiedatabase.org/service/firebase/
firebase:authUser:*;Firebase;Unknown;with unknown functionality;at least one session;Firebase;https://cookiedatabase.org/service/firebase/
ff_news_session;Flow-Flow Social Stream;Unknown;with unknown functionality;session;Flow-Flow Social Stream;https://cookiedatabase.org/service/flow-flow-social-stream/
Fomo.snv-*;Fomo for WooCommerce;Unknown;with unknown functionality;at least one session;Fomo for WooCommerce;https://cookiedatabase.org/service/fomo/
fm_cookie_*;Form maker by 10web;Functional;tostore if a message has been dismissed.;1 day;Form maker by 10web;https://cookiedatabase.org/service/formmaker10web/
flp_checksum;Fraudlabs Pro;Functional;toprovide the identification of trusted web traffic.;1 year;Fraudlabs Pro;https://cookiedatabase.org/service/fraudlabs/
f2b_search_cal_cp_period;Freetobook;Unknown;with unknown functionality;session;Freetobook;https://cookiedatabase.org/service/freetobook/
ftb_review_data_*;Freetobook;Unknown;with unknown functionality;at least one session;Freetobook;https://cookiedatabase.org/service/freetobook/
ftb_review_data_*_expiry;Freetobook;Unknown;with unknown functionality;at least one session;Freetobook;https://cookiedatabase.org/service/freetobook/
fusionredux_current_tab;Fusion Theme;Functional;tostore and track if the browser tab is active.;expires immediately;Fusion Theme;https://cookiedatabase.org/service/fusion-theme/
f2b_search_cal_cp_date;Freetobook;Unknown;with unknown functionality;session;Freetobook;https://cookiedatabase.org/service/freetobook/
fusionPanel;Fusion Theme;Functional;with unknown functionality;session;Fusion Theme;https://cookiedatabase.org/service/fusion-theme/
fusion_metabox_tab_*;Fusion Theme;Unknown;with unknown functionality;at least one session;Fusion Theme;https://cookiedatabase.org/service/fusion-theme/
fs_session_id;FullStory;Marketing;tostore a unique session ID.;1 year;FullStory;https://cookiedatabase.org/service/fullstory/
fs_uid;FullStory;Unknown;with unknown functionality;at least one session;FullStory;https://cookiedatabase.org/service/fullstory/
flowplayerTestStorage;FV Player;Unknown;with unknown functionality;persistent;FV Player;https://cookiedatabase.org/service/fvplayer/
gdpr;GDPR Cookie Compliance;Unknown;with unknown functionality;at least one session;GDPR Cookie Compliance;https://cookiedatabase.org/service/gdpr-cookie-compliance/
moove_gdpr_popup;GDPR Cookie Compliance;Functional;tostore cookie consent preferences.;session;GDPR Cookie Compliance;https://cookiedatabase.org/service/gdpr-cookie-compliance/
catAccCookies;GDPR Cookie Consent Banner;Functional;tostore cookie consent preferences.;30 days;GDPR Cookie Consent Banner;https://cookiedatabase.org/service/gdpr-cookie-consent-banner/
ct-ultimate-gdpr-cookie;GDPR Cookie Consent;Functional;tostore cookie consent preferences.;1 year;GDPR Cookie Consent;https://cookiedatabase.org/service/gdpr-cookie-consent/
gdpr[allowed_cookies;GDPR Cookie Consent;Unknown;with unknown functionality;1 year , persistent;GDPR Cookie Consent;https://cookiedatabase.org/service/gdpr-cookie-consent/
gdpr[consent_types;GDPR Cookie Consent;Unknown;with unknown functionality;1 year , persistent;GDPR Cookie Consent;https://cookiedatabase.org/service/gdpr-cookie-consent/
gdpr[privacy_bar;GDPR Cookie Consent;Unknown;with unknown functionality;1 year , persistent;GDPR Cookie Consent;https://cookiedatabase.org/service/gdpr-cookie-consent/
gdpr[consent_types];GDPR Cookie Consent;Unknown;with unknown functionality;at least one session;GDPR Cookie Consent;https://cookiedatabase.org/service/gdpr-cookie-consent/
gdpr[privacy_bar];GDPR Cookie Consent;Unknown;with unknown functionality;at least one session;GDPR Cookie Consent;https://cookiedatabase.org/service/gdpr-cookie-consent/
gdpr[allowed_cookies];GDPR Cookie Consent;Functional;tostore cookie consent preferences.;at least one session;GDPR Cookie Consent;https://cookiedatabase.org/service/gdpr-cookie-consent/
viewed_cookie_policy;GDPR Cookie Consent;Functional;tostore if a message has been shown.;persistent;GDPR Cookie Consent;https://cookiedatabase.org/service/gdpr-cookie-consent/
gd_recently_viewed;GeoDirectory;Functional;toprovide persistent item display functionality.;persistent;GeoDirectory;https://cookiedatabase.org/service/geodirectory/
gist-state;Gist;Statistics;tostore and count pageviews.;persistent;Gist;https://cookiedatabase.org/service/gist/
wpinv_session_*;GeoDirectory;Functional;toprovide functions across pages.;session;GeoDirectory;https://cookiedatabase.org/service/geodirectory/
gd_list_view;GeoDirectory;Functional;toprovide functions across pages.;persistent;GeoDirectory;https://cookiedatabase.org/service/geodirectory/
giveasap_*;GiveASAP;Unknown;with unknown functionality;at least one session;GiveASAP;https://cookiedatabase.org/service/giveasap/
ucid;Gigya;Marketing;with unknown functionality;1 year;Gigya;https://cookiedatabase.org/service/gigya/
gmid;Gigya;Marketing;with unknown functionality;1 year;Gigya;https://cookiedatabase.org/service/gigya/
gig_hasGmid;Gigya;Marketing;with unknown functionality;7 months;Gigya;https://cookiedatabase.org/service/gigya/
_gcl_aw;Google Ads;Marketing;toprovide ad delivery or retargeting.;90 days;Google Ads;https://cookiedatabase.org/service/google-ads/
gg_builder_layout;Global Gallery;Unknown;with unknown functionality;at least one session;Global Gallery;https://cookiedatabase.org/service/global-gallery/
_gac_UA-*;Google Ads,Google Analytics;Statistics;tostore and count pageviews.;90 days;Google Ads;https://cookiedatabase.org/service/google-ads/
goog_pem_mod;Google Ads;Marketing;toprovide ad delivery or retargeting.;persistent;Google Ads;https://cookiedatabase.org/service/google-ads/
ads/ga-audiences;Google Ads;Marketing;tostore information for remarketing purposes.;expires immediately;Google Ads;https://cookiedatabase.org/service/google-ads/
google_pem_mod;Google Ads;Marketing;toprovide ad delivery or retargeting.;persistent;Google Ads;https://cookiedatabase.org/service/google-ads/
_gac_*;Google Ads;Marketing;tostore and track audience reach.;90 days;Google Ads;https://cookiedatabase.org/service/google-ads/
_tccl_visitor;Go Daddy;Statistics;tostore anonymized statistics.;1 year;Go Daddy;https://cookiedatabase.org/service/go-daddy/
_tccl_visit;Go Daddy;Statistics;tostore anonymized statistics.;30 minutes;Go Daddy;https://cookiedatabase.org/service/go-daddy/
give_campaign;GiveWP;Statistics;toProvide parameters to URLs to identify the campaigns that refer traffic.;session;GiveWP;https://cookiedatabase.org/service/givewp/
give_source;GiveWP;Statistics;toProvide parameters to URLs to identify the campaigns that refer traffic.;session;GiveWP;https://cookiedatabase.org/service/givewp/
give_medium;GiveWP;Statistics;toProvide parameters to URLs to identify the campaigns that refer traffic.;session;GiveWP;https://cookiedatabase.org/service/givewp/
give_content;GiveWP;Statistics;toProvide parameters to URLs to identify the campaigns that refer traffic.;session;GiveWP;https://cookiedatabase.org/service/givewp/
wp-give_session_*;GiveWP;Functional;tostore a unique session ID.;1 week;GiveWP;https://cookiedatabase.org/service/givewp/
wp-give_session_reset_nonce_*;GiveWP;Functional;toprovide functions across pages.;1 week;GiveWP;https://cookiedatabase.org/service/givewp/
_gcl_ls;Google Adsense;Statistics;toStore and track interaction.;at least one session;Google Adsense;https://cookiedatabase.org/service/google-adsense/
google_ama_settings;Google Adsense;Marketing;tostore performed actions on the website.;persistent;Google Adsense;https://cookiedatabase.org/service/google-adsense/
google_pub_config;Google Adsense;Marketing;toprovide ad delivery or retargeting.;persistent;Google Adsense;https://cookiedatabase.org/service/google-adsense/
google_ama_config;Advanced Ads,Google Adsense;Marketing;with unknown functionality;persistent;Google Adsense;https://cookiedatabase.org/service/google-adsense/
google_adsense_settings;Google Adsense;Marketing;toprovide ad delivery or retargeting.;persistent;Google Adsense;https://cookiedatabase.org/service/google-adsense/
_gcl_au;Google Adsense;Marketing;tostore and track conversions.;persistent;Google Adsense;https://cookiedatabase.org/service/google-adsense/
__utmd;Google Analytics;Marketing;tostore and track visitor journeys through the site and classifies them into groups.;1 second;Google Analytics;https://cookiedatabase.org/service/google-analytics/
_gac_UA-*;Google Ads,Google Analytics;Statistics;tostore and count pageviews.;90 days;Google Analytics;https://cookiedatabase.org/service/google-analytics/
utm_source;Google Analytics;Statistics;toProvide parameters to URLs to identify the campaigns that refer traffic.;expires immediately;Google Analytics;https://cookiedatabase.org/service/google-analytics/
__utmt;Google Analytics;Statistics;tostore number of service requests.;10 minutes;Google Analytics;https://cookiedatabase.org/service/google-analytics/
utm_campaign;Google Analytics;Statistics;toProvide parameters to URLs to identify the campaigns that refer traffic.;expires immediately;Google Analytics;https://cookiedatabase.org/service/google-analytics/
__utm.gif;Google Analytics;Statistics;tostore browser details.;session;Google Analytics;https://cookiedatabase.org/service/google-analytics/
__utmb;Google Analytics;Statistics;tostore time of visit.;session;Google Analytics;https://cookiedatabase.org/service/google-analytics/
_gat_*;Google Analytics;Functional;toread and filter requests from bots.;1 minute;Google Analytics;https://cookiedatabase.org/service/google-analytics/
_ga_*;Google Analytics;Statistics;tostore and count pageviews.;1 year;Google Analytics;https://cookiedatabase.org/service/google-analytics/
UTMD_;Google Analytics;Statistics;tostore and count pageviews.;various;Google Analytics;https://cookiedatabase.org/service/google-analytics/
1p_jar;Google Ads Optimization;Marketing;toprovide ad delivery or retargeting.;1 month;Google Ads Optimization;https://cookiedatabase.org/service/google-ads-optimization/
DV;Google Ads Optimization;Marketing;toprovide ad delivery or retargeting.;1 day;Google Ads Optimization;https://cookiedatabase.org/service/google-ads-optimization/
google_experiment_mod*;Google Ads Optimization;Marketing;tostore and track visits across websites.;3 months;Google Ads Optimization;https://cookiedatabase.org/service/google-ads-optimization/
id;Google Ads Optimization;Unknown;with unknown functionality;at least one session;Google Ads Optimization;https://cookiedatabase.org/service/google-ads-optimization/
CONSENT;Google Ads Optimization;Functional;tostore cookie consent preferences.;20 years;Google Ads Optimization;https://cookiedatabase.org/service/google-ads-optimization/
SNID;Google Ads Optimization;Marketing;toprovide ad delivery or retargeting.;persistent;Google Ads Optimization;https://cookiedatabase.org/service/google-ads-optimization/
APISID;Google Ads Optimization;Unknown;with unknown functionality;2 years;Google Ads Optimization;https://cookiedatabase.org/service/google-ads-optimization/
SSID;Google Ads Optimization;Unknown;with unknown functionality;2 years;Google Ads Optimization;https://cookiedatabase.org/service/google-ads-optimization/
HSID;Google Ads Optimization;Functional;toprovide fraud prevention.;2 years;Google Ads Optimization;https://cookiedatabase.org/service/google-ads-optimization/
SID;Google Ads Optimization;Marketing;toprovide ad delivery or retargeting,provide fraud prevention.;2 years;Google Ads Optimization;https://cookiedatabase.org/service/google-ads-optimization/
gadwp_wg_default_swmetric;Google Analytics Dashboard for WP;Statistics (anonymous);tostore and count pageviews.;1 year;Google Analytics Dashboard for WP;https://cookiedatabase.org/service/google-analytics-dashboard-for-wp/
gadwp_ir_default_metric;Google Analytics Dashboard for WP;Statistics (anonymous);tostore and count pageviews.;1 year;Google Analytics Dashboard for WP;https://cookiedatabase.org/service/google-analytics-dashboard-for-wp/
gadwp_ir_default_swmetric;Google Analytics Dashboard for WP;Statistics (anonymous);tostore and count pageviews.;1 year;Google Analytics Dashboard for WP;https://cookiedatabase.org/service/google-analytics-dashboard-for-wp/
gadwp_ir_default_dimension;Google Analytics Dashboard for WP;Statistics;tostore and count pageviews.;1 year;Google Analytics Dashboard for WP;https://cookiedatabase.org/service/google-analytics-dashboard-for-wp/
gadwp_wg_default_dimension;Google Analytics Dashboard for WP;Statistics;with unknown functionality;1 year;Google Analytics Dashboard for WP;https://cookiedatabase.org/service/google-analytics-dashboard-for-wp/
gadwp_wg_default_metric;Google Analytics Dashboard for WP;Statistics;tostore and count pageviews.;1 month;Google Analytics Dashboard for WP;https://cookiedatabase.org/service/google-analytics-dashboard-for-wp/
